index,name,longitude,latitude,elevation,collection start,collection end,solution status,lateral rms,sample count,antenna height
1,Point 1,-65.72934898813492,-44.827043188821634,18.112209166666666,2019-11-12 13:45:28 UTC,2019-11-12 13:47:28 UTC,SINGLE,0.0403,600.0,1.775
2,Point 2,-65.72768232446005,-44.826314435158366,14.959069166666664,2019-11-12 13:55:36 UTC,2019-11-12 13:57:36 UTC,SINGLE,0.077,600.0,1.775
3,Point 3,-65.72824709912167,-44.82652668478835,19.417733333333324,2019-11-12 13:59:57 UTC,2019-11-12 14:01:57 UTC,SINGLE,0.0989,600.0,1.775
4,Point 4,-65.72634850117839,-44.82803598528831,10.439075333333328,2019-11-12 14:09:24 UTC,2019-11-12 14:11:24 UTC,SINGLE,0.0535,600.0,1.775
5,Point 5,-65.72702597232156,-44.807302992705004,11.597479666666665,2019-11-12 14:41:57 UTC,2019-11-12 14:43:57 UTC,SINGLE,0.0882,600.0,1.775
