index,name,longitude,latitude,elevation,collection start,collection end,solution status,lateral rms,sample count,antenna height
1,Point 1,-65.73387437001,-44.80628116002828,22.086057166666677,2019-11-11 15:32:47 UTC,2019-11-11 15:34:48 UTC,SINGLE,0.1365,600.0,1.775
2,Point 2,-65.73388856502335,-44.80639666520498,22.178628166666652,2019-11-11 15:37:12 UTC,2019-11-11 15:39:12 UTC,SINGLE,0.1106,600.0,1.775
3,Point 3,-65.73390426098997,-44.806486378203346,22.80079783333334,2019-11-11 15:41:50 UTC,2019-11-11 15:43:50 UTC,SINGLE,0.0995,600.0,1.775
4,Point 4,-65.73389705091842,-44.806456576578306,22.83683266666666,2019-11-11 15:45:39 UTC,2019-11-11 15:47:39 UTC,SINGLE,0.1757,600.0,1.775
5,Point 5,-65.73392981873997,-44.80652452574,22.431766166666684,2019-11-11 15:51:27 UTC,2019-11-11 15:53:27 UTC,SINGLE,0.0572,600.0,1.775
6,Point 6,-65.73400046741331,-44.80656008541831,19.3015685,2019-11-11 15:56:20 UTC,2019-11-11 15:58:20 UTC,SINGLE,0.0577,600.0,1.775
7,Point 7,-65.73401258922506,-44.8065655190567,19.138362,2019-11-11 16:01:37 UTC,2019-11-11 16:03:37 UTC,SINGLE,0.0718,600.0,1.775
8,Point 8,-65.73390596820505,-44.80655797934828,24.52893,2019-11-11 16:06:21 UTC,2019-11-11 16:08:21 UTC,SINGLE,0.1357,600.0,1.775
